tournament_name,team_a,team_a_score,team_a_player_1,team_a_player_1_tuh,team_a_player_1_powers,team_a_player_1_gets,team_a_player_1_negs,team_a_player_2,team_a_player_2_tuh,team_a_player_2_powers,team_a_player_2_gets,team_a_player_2_negs,team_a_player_3,team_a_player_3_tuh,team_a_player_3_powers,team_a_player_3_gets,team_a_player_3_negs,team_a_player_4,team_a_player_4_tuh,team_a_player_4_powers,team_a_player_4_gets,team_a_player_4_negs,team_b,team_b_score,team_b_player_1,team_b_player_1_tuh,team_b_player_1_powers,team_b_player_1_gets,team_b_player_1_negs,team_b_player_2,team_b_player_2_tuh,team_b_player_2_powers,team_b_player_2_gets,team_b_player_2_negs,team_b_player_3,team_b_player_3_tuh,team_b_player_3_powers,team_b_player_3_gets,team_b_player_3_negs,team_b_player_4,team_b_player_4_tuh,team_b_player_4_powers,team_b_player_4_gets,team_b_player_4_negs
Penn Bowl 2024,Toronto ACF Winter Editors (and Gareth!),420,Sky Li,20,2,1,1,Raymond Chen,20,2,1,0,Gareth Thorlakson,20,1,1,1,Benjamin Chapman,20,1,4,0,R1 replacement bus service will run between Tunney's Pasture and Blair stations,175,Maude-Sophie Lockman,20,0,1,0,James Wang,20,1,0,0,Colin Veevers,20,0,1,1,Adrian Wong,20,1,2,0
Penn Bowl 2024,Toronto B,285,Rayton Lin,20,0,2,0,Parth Jagtap,20,1,4,4,Kunaal Chandrashekar,20,0,5,0,Ben Wismath,20,0,1,0,uO AEHSA,115,Stefan  Vlad,20,2,0,0,Ian Theysmeyer,20,0,2,1,Gabrielle Clark,2,0,2,0,Aedan Cooper,20,0,0,0
Penn Bowl 2024,Toronto Brown Food Truck Mexican Poutine Bowl,45,Marcus Forbes-Green,20,0,1,1,Jason Zhang,20,0,1,0,Chris Wang,20,0,0,0,Amir Dolansky,20,0,0,0,Waterloo Turkmenchay,430,Micah Colman,20,0,7,1,Jason Wang,20,0,0,0,Jacob Bicol,20,0,2,0,Caleb Ott,20,1,7,0
Penn Bowl 2024,Waterloo Gulistan,470,Michael Du,20,0,2,0,Mattias Ehatamm,20,0,6,1,Liam Kusalik,20,0,4,0,Jared He,20,1,3,0,Toronto just put the Northrop Fryes in the bag,60,Yihong Chen,20,1,1,2,Joey Sun,20,1,0,0,Franklin Wu,20,0,0,0,Athan Juritsch,20,0,0,0
Penn Bowl 2024,McGill Fartlets,125,Luke Sloan,20,0,1,0,Devito Stevanus,20,2,0,0,Denali Tran-Le,20,0,3,0,Charlotte Bauer,20,0,1,1,Chimera Team B,220,Milan Fernandez,20,0,6,3,Ishan Joshi,20,1,1,1,Halee Carey,20,0,2,0,Elijah Mandelbaum,20,0,0,1
Penn Bowl 2024,Les junglers de Nostre Dame,275,Zhenglin Liu,20,0,1,0,Paul Kasiński,20,0,1,0,Kais Jessa,20,1,0,0,Henry Atkins,20,1,6,1,McGill A,210,Nick Edwards,20,1,3,0,James Wadsley,20,0,2,0,Ava Butler,20,0,1,0,Asha Basu,20,1,2,0
Penn Bowl 2024,Les junglers de Nostre Dame,250,Zhenglin Liu,20,0,1,4,Paul Kasiński,20,0,2,0,Kais Jessa,20,0,0,1,Henry Atkins,20,3,4,0,Waterloo Gulistan,300,Michael Du,20,0,3,1,Mattias Ehatamm,20,1,0,0,Liam Kusalik,20,1,2,0,Jared He,20,1,2,0
Penn Bowl 2024,R1 replacement bus service will run between Tunney's Pasture and Blair stations,315,Maude-Sophie Lockman,20,1,2,0,James Wang,20,0,2,0,Colin Veevers,20,1,3,2,Adrian Wong,20,1,3,0,Waterloo Turkmenchay,210,Micah Colman,20,1,2,1,Jason Wang,20,0,0,0,Jacob Bicol,20,1,0,0,Caleb Ott,20,2,1,1
Penn Bowl 2024,uO AEHSA,70,Stefan  Vlad,20,0,1,0,Ian Theysmeyer,20,0,0,2,Gabrielle Clark,20,0,3,1,Aedan Cooper,20,1,0,0,Chimera Team B,305,Milan Fernandez,20,0,8,1,Ishan Joshi,20,1,0,0,Halee Carey,20,0,2,0,Elijah Mandelbaum,20,1,1,0
Penn Bowl 2024,Toronto ACF Winter Editors (and Gareth!),420,Sky Li,20,1,1,0,Raymond Chen,20,0,1,2,Gareth Thorlakson,20,2,4,0,Benjamin Chapman,20,1,5,2,Toronto just put the Northrop Fryes in the bag,50,Yihong Chen,20,0,1,0,Joey Sun,20,1,1,3,Franklin Wu,20,0,0,0,Athan Juritsch,20,0,0,0
Penn Bowl 2024,Toronto B,125,Rayton Lin,20,0,0,2,Parth Jagtap,20,1,1,1,Kunaal Chandrashekar,20,0,1,0,Ben Wismath,20,1,1,0,McGill A,410,Nick Edwards,20,0,5,0,James Wadsley,20,0,6,0,Ava Butler,20,0,0,0,Asha Basu,20,2,2,0
Penn Bowl 2024,Toronto Brown Food Truck Mexican Poutine Bowl,275,Marcus Forbes-Green,20,0,2,0,Jason Zhang,20,0,2,1,Chris Wang,20,0,0,0,Amir Dolansky,20,0,8,2,McGill Fartlets,90,Nabhaan Farooqi,20,0,3,0,Devito Stevanus,20,0,1,1,Denali Tran-Le,20,0,1,0,Charlotte Bauer,20,0,0,1
Penn Bowl 2024,Waterloo Turkmenchay,280,Micah Colman,20,0,6,2,Jason Wang,20,0,0,0,Jacob Bicol,20,0,0,0,Caleb Ott,20,2,2,2,uO AEHSA,225,Stefan  Vlad,20,1,0,0,Ian Theysmeyer,20,1,1,0,Gabrielle Clark,20,0,3,0,Aedan Cooper,20,1,2,0
Penn Bowl 2024,Waterloo Gulistan,300,Michael Du,20,0,3,1,Mattias Ehatamm,20,1,3,1,Liam Kusalik,20,0,2,0,Jared He,20,0,1,1,Chimera Team B,185,Milan Fernandez,20,1,4,0,Ishan Joshi,20,0,2,2,Halee Carey,20,1,0,1,Elijah Mandelbaum,20,0,1,0
Penn Bowl 2024,R1 replacement bus service will run between Tunney's Pasture and Blair stations,265,Maude-Sophie Lockman,20,0,2,0,James Wang,20,1,1,1,Colin Veevers,20,1,2,0,Adrian Wong,20,0,3,2,Les junglers de Nostre Dame,240,Zhenglin Liu,20,0,2,1,Paul Kasiński,20,0,0,0,Kais Jessa,20,1,1,1,Henry Atkins,20,1,5,2
Penn Bowl 2024,McGill Fartlets,140,Nabhaan Farooqi,10,1,0,0,Luke Sloan,20,0,2,0,Devito Stevanus,10,0,3,1,Denali Tran-Le,20,0,1,1,Toronto B,325,Rayton Lin,20,1,1,0,Parth Jagtap,20,2,4,3,Kunaal Chandrashekar,20,0,2,0,Ben Wismath,20,1,1,0
Penn Bowl 2024,Toronto ACF Winter Editors (and Gareth!),355,Sky Li,20,0,3,1,Raymond Chen,20,0,3,1,Gareth Thorlakson,20,1,4,2,Benjamin Chapman,20,1,1,1,Toronto Brown Food Truck Mexican Poutine Bowl,130,Marcus Forbes-Green,20,0,1,0,Jason Zhang,20,1,2,0,Chris Wang,20,0,0,0,Amir Dolansky,20,0,2,1
Penn Bowl 2024,Toronto just put the Northrop Fryes in the bag,205,Yihong Chen,20,0,2,0,Joey Sun,20,0,5,1,Franklin Wu,20,0,3,0,Athan Juritsch,20,0,0,0,McGill A,255,Nick Edwards,20,1,6,0,James Wadsley,20,0,0,0,Ava Butler,20,1,0,1,Asha Basu,20,0,2,0
Penn Bowl 2024,Toronto ACF Winter Editors (and Gareth!),315,Sky Li,20,0,4,1,Raymond Chen,20,2,0,0,Gareth Thorlakson,20,0,2,1,Benjamin Chapman,20,0,3,3,Waterloo Gulistan,310,Michael Du,20,1,2,0,Mattias Ehatamm,20,2,1,2,Liam Kusalik,20,1,1,0,Jared He,20,0,2,0
Penn Bowl 2024,Toronto Brown Food Truck Mexican Poutine Bowl,145,Marcus Forbes-Green,20,1,3,1,Jason Zhang,20,0,3,0,Chris Wang,20,0,0,0,Amir Dolansky,20,0,0,1,Chimera Team B,225,Milan Fernandez,20,2,4,1,Ishan Joshi,20,1,3,2,Halee Carey,20,0,0,1,Elijah Mandelbaum,20,0,0,0
Penn Bowl 2024,Toronto B,250,Rayton Lin,20,0,1,0,Parth Jagtap,20,0,4,2,Kunaal Chandrashekar,20,0,2,0,Ben Wismath,20,1,1,1,Waterloo Turkmenchay,295,Micah Colman,20,2,3,1,Jason Wang,20,0,0,0,Jacob Bicol,20,0,1,1,Caleb Ott,20,1,4,2
Penn Bowl 2024,Les junglers de Nostre Dame,400,Zhenglin Liu,20,1,1,1,Paul Kasiński,20,0,1,0,Kais Jessa,20,1,1,0,Henry Atkins,20,4,4,1,Toronto just put the Northrop Fryes in the bag,120,Yihong Chen,20,0,2,0,Joey Sun,20,0,1,1,Franklin Wu,20,0,2,1,Athan Juritsch,20,0,0,0
Penn Bowl 2024,McGill A,265,Nick Edwards,20,1,3,1,James Wadsley,20,0,1,0,Ava Butler,20,0,0,0,Asha Basu,20,1,4,0,R1 replacement bus service will run between Tunney's Pasture and Blair stations,250,Maude-Sophie Lockman,20,1,4,1,James Wang,20,0,1,0,Colin Veevers,20,0,1,2,Adrian Wong,20,0,3,0
Penn Bowl 2024,uO AEHSA,215,Stefan  Vlad,20,1,1,0,Ian Theysmeyer,20,0,2,0,Gabrielle Clark,20,0,4,1,Aedan Cooper,20,0,2,1,McGill Fartlets,150,Nabhaan Farooqi,20,0,3,2,Devito Stevanus,20,0,2,1,Denali Tran-Le,20,0,1,1,Charlotte Bauer,20,0,1,0
Penn Bowl 2024,Toronto just put the Northrop Fryes in the bag,180,Yihong Chen,20,0,0,1,Joey Sun,20,1,4,1,Franklin Wu,20,0,2,1,Athan Juritsch,20,0,1,0,Chimera Team B,150,Milan Fernandez,20,1,1,4,Ishan Joshi,20,0,3,1,Halee Carey,20,0,1,1,Elijah Mandelbaum,20,0,1,1
Penn Bowl 2024,McGill A,440,Nick Edwards,20,0,11,0,James Wadsley,20,0,2,0,Ava Butler,20,0,1,0,Asha Basu,20,0,4,0,uO AEHSA,-10,Stefan  Vlad,20,0,0,1,Ian Theysmeyer,20,0,0,1,Gabrielle Clark,20,0,0,0,Aedan Cooper,20,0,0,0
Penn Bowl 2024,Waterloo Gulistan,370,Michael Du,20,0,2,1,Mattias Ehatamm,20,0,6,3,Liam Kusalik,20,0,2,0,Jared He,20,0,3,0,McGill Fartlets,115,Nabhaan Farooqi,20,0,3,0,Luke Sloan,20,0,1,0,Devito Stevanus,20,0,1,0,Charlotte Bauer,20,0,1,1
Penn Bowl 2024,Toronto Brown Food Truck Mexican Poutine Bowl,75,Marcus Forbes-Green,20,0,0,0,Jason Zhang,20,0,2,1,Chris Wang,20,0,0,0,Amir Dolansky,20,0,1,0,R1 replacement bus service will run between Tunney's Pasture and Blair stations,445,Maude-Sophie Lockman,20,0,4,0,James Wang,20,0,2,0,Colin Veevers,20,0,1,1,Adrian Wong,20,1,8,1
Penn Bowl 2024,Toronto ACF Winter Editors (and Gareth!),230,Sky Li,20,2,1,1,Raymond Chen,20,0,2,2,Gareth Thorlakson,20,0,3,1,Benjamin Chapman,20,0,1,0,Waterloo Turkmenchay,275,Micah Colman,20,0,4,0,Jason Wang,20,0,0,0,Jacob Bicol,20,0,0,0,Caleb Ott,20,2,4,1
